id,account_id,cnumber,cvv,created_at,expired_at,cstatus
0,831,4552521433839675,682,2022-08-14,2023-03-08,active
1,260,4218472916778896,671,2022-12-23,2027-10-25,active
2,701,1994752416549126,412,2022-12-31,2026-10-14,active
3,128,8384243639844829,595,2022-12-09,2026-06-12,blocked
4,868,9522825452698395,339,2022-12-16,2027-09-12,blocked
5,123,2783778344282671,949,2022-11-08,2022-11-15,expired
6,103,1275213953238824,798,2022-12-01,2026-07-25,active
7,653,4938643692492663,867,2022-12-26,2024-08-03,blocked
8,192,5761792148231289,637,2022-12-30,2023-10-08,blocked
9,745,8697458415388952,139,2022-12-26,2027-01-18,blocked
10,278,1358322116251776,981,2022-12-17,2024-06-06,blocked
11,715,7139453719292618,645,2022-12-30,2025-04-13,active
12,388,9826492537248337,237,2022-12-10,2026-12-13,blocked
13,132,9784342945162129,447,2022-12-03,2026-09-05,blocked
14,389,1836751534218981,237,2022-12-30,2026-06-19,blocked
15,160,3685772623386619,343,2022-08-26,2025-02-17,active
16,103,8592268661382145,772,2022-09-26,2022-10-25,expired
17,205,2972832786953727,276,2022-11-16,2023-10-18,active
18,570,2795787917956896,846,2022-12-05,2026-01-02,blocked
19,59,4822447163656268,932,2022-04-12,2026-01-27,blocked
20,805,1496386756993553,489,2022-11-23,2022-12-04,expired
21,77,9963746672995965,577,2022-11-21,2027-03-31,blocked
22,249,9695822246449343,897,2022-12-11,2022-12-19,expired
23,615,1785985123447981,368,2022-10-27,2027-07-23,blocked
24,394,2568749535137998,686,2022-12-30,2025-07-17,blocked
25,20,3742769966857674,332,2022-12-19,2024-01-05,active
26,553,3429584823689391,317,2022-10-22,2022-10-29,expired
27,428,5496949442879668,251,2022-11-07,2023-02-14,blocked
28,516,2744575887214562,997,2022-12-14,2022-12-26,expired
29,508,4739826135668881,638,2022-12-29,2023-09-05,active
30,621,4811774512537582,546,2022-12-27,2023-10-08,blocked
31,641,4886623494337879,185,2022-08-01,2023-01-27,active
32,788,5163715983793984,724,2022-12-29,2022-12-31,expired
33,206,9181379493751482,255,2022-07-27,2022-12-25,expired
34,675,1545282515653421,964,2022-12-16,2025-09-26,active
35,812,7578198928924317,664,2022-12-07,2022-12-23,expired
36,539,3845734183724992,944,2022-11-24,2022-12-08,expired
37,894,7235235482164325,166,2022-12-19,2022-12-31,expired
38,681,5117543933863118,438,2022-12-30,2022-12-31,expired
39,51,5774774812534587,865,2022-12-14,2026-12-07,blocked
40,572,7681821158137339,638,2022-11-25,2022-12-11,expired
41,948,5987947447984942,113,2022-11-23,2022-12-07,expired
42,782,5247676873944655,322,2022-11-27,2026-01-21,active
43,663,3697686292325844,456,2022-11-16,2023-04-04,blocked
44,884,6485568274428133,899,2022-12-16,2026-08-22,blocked
45,75,3716897742299839,192,2022-12-02,2025-10-07,active
46,532,1978888394716578,421,2022-10-04,2024-05-23,blocked
47,536,8631713361828577,319,2022-12-31,2023-01-01,expired
48,369,5896459499823663,193,2022-10-27,2025-01-28,active
49,100,1468855365765354,819,2022-12-16,2027-03-04,blocked
50,618,6685687429321326,855,2022-10-27,2026-02-10,blocked
51,183,5258368654663576,297,2022-08-31,2022-09-19,expired
52,223,9495279877525257,388,2022-11-26,2022-12-11,expired
53,640,6145139367761169,716,2022-11-14,2024-09-23,active
54,319,4932412132546137,782,2022-12-05,2024-06-15,active
55,754,5866856191811242,498,2022-09-14,2022-12-08,expired
56,311,3513858873635137,993,2022-12-05,2027-01-30,active
57,27,8456937139882211,648,2022-10-04,2022-11-12,expired
58,256,9542845642331968,658,2022-12-30,2022-12-31,expired
59,901,4166129223261185,215,2022-07-01,2026-12-02,active
60,726,1337591537526212,637,2022-10-26,2023-12-09,active
61,635,3637466633585796,523,2022-08-05,2024-04-23,active
62,172,5137822598718161,322,2022-12-29,2023-02-23,active
63,858,6861246431347384,987,2022-11-16,2024-07-03,active
64,941,1321142422843959,844,2022-12-30,2027-01-18,blocked
65,406,6424854572682411,935,2022-12-21,2024-09-27,active
66,508,7988498174245283,652,2022-12-23,2024-06-15,blocked
67,215,8117792554582355,139,2022-12-19,2022-12-30,expired
68,848,9616437695916591,688,2022-10-18,2026-11-18,blocked
69,233,4178623959896461,669,2022-10-29,2023-05-06,blocked
70,616,2429273288235763,394,2022-12-29,2025-07-01,active
71,519,4687676114271694,464,2022-12-26,2027-05-23,blocked
72,545,7677216467461578,428,2022-11-30,2027-02-27,active
73,263,5487512275457976,268,2022-12-02,2023-08-05,blocked
74,575,3186714829535268,891,2022-12-18,2027-06-24,active
75,957,7717869343941957,825,2022-12-29,2026-12-19,blocked
76,86,5999735294541518,741,2022-12-03,2027-10-31,active
77,335,1455698387647385,587,2022-05-27,2027-01-04,blocked
78,168,8528478557427459,234,2022-12-22,2022-12-29,expired
79,650,4492636374196363,225,2022-12-31,2023-02-02,active
80,12,3319614357888285,454,2022-12-21,2022-12-27,expired
81,850,3921276619551269,384,2022-11-15,2027-01-23,blocked
82,302,7359321784434887,996,2022-12-29,2022-12-31,expired
83,961,7581548716988239,292,2022-10-08,2022-12-05,expired
84,844,3498425589721983,972,2022-10-14,2023-10-08,active
85,120,7883249545379252,569,2022-12-21,2026-10-16,blocked
86,637,2516546677661818,348,2022-12-09,2022-12-16,expired
87,162,2356991876269578,842,2022-12-20,2027-10-17,active
88,88,4192426778865393,415,2022-10-08,2026-05-21,blocked
89,995,3429227443486497,475,2022-12-13,2026-10-02,active
90,265,7973554157667149,218,2022-09-14,2022-12-05,expired
91,299,7134532726541357,474,2022-05-14,2022-07-26,expired
92,721,1319962496588357,924,2022-12-06,2026-12-12,active
93,639,1589475685439124,543,2022-11-13,2026-06-14,active
94,541,3275517443148776,892,2022-11-27,2027-02-07,blocked
95,233,4797147177431591,895,2022-09-07,2022-12-26,expired
96,24,7258625412896334,931,2022-12-25,2026-08-04,active
97,966,7869741418573222,799,2022-12-05,2026-12-31,active
98,728,8984773514187852,392,2022-12-31,2026-01-01,blocked
99,328,4223464551638579,458,2022-06-13,2024-07-26,blocked
100,918,6624529269254677,129,2022-11-21,2026-08-16,active
101,135,2388587186932899,476,2022-10-22,2022-10-24,expired
102,160,5625136879664849,379,2022-09-09,2026-04-18,blocked
103,274,8691131847148595,169,2022-12-22,2022-12-31,expired
104,23,5739148662348995,738,2022-12-22,2023-08-30,active
105,939,1316753478324624,833,2022-12-28,2024-04-12,active
106,338,6969385369538197,528,2022-12-17,2025-04-02,blocked
107,990,4191262232568886,399,2022-12-19,2024-12-29,blocked
108,110,2829444476257396,772,2022-12-22,2022-12-25,expired
109,478,5932445126933976,533,2022-06-15,2022-08-27,expired
110,463,1544983498188982,674,2022-06-03,2026-10-12,blocked
111,431,7565182653397246,769,2022-09-25,2022-11-14,expired
112,931,5136948836482115,264,2022-09-19,2025-06-04,active
113,322,4539477753596461,417,2022-10-24,2022-11-07,expired
114,748,5529993136683117,893,2022-10-04,2026-08-27,blocked
115,474,7772417993914757,472,2022-12-11,2027-10-25,blocked
116,664,7145263613493415,572,2022-10-24,2027-07-03,blocked
117,214,9619329921731434,933,2022-12-22,2027-07-09,blocked
118,488,1256758159188422,937,2022-12-29,2022-12-31,expired
119,358,5181339727751771,912,2022-09-08,2022-09-21,expired
